model,algorithm,testcase,scene_id,query_obj_id,difficulty,ambiguous,split,instruction,intent_selected_id,intent_selected_object,branch,reason_grasp_id,reason_grasp_object,reason_status,selection_status,ground_truth_object_ids,predicted_perception_object_id,predicted_dataset_object_id,ssr_iou,rsr_success,status
gpt-4o,theory_original,01_hard_ambiguous,1709,4,Hard,True,0,the right most screwdriver,7,black and red screwdriver,fully_visible,7,black and red screwdriver,ok,completed,"[3, 11]",7,7,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1709,4,Hard,True,1,the screwdriver in the center right of the box,7,black and red screwdriver,fully_visible,7,black and red screwdriver,ok,completed,"[3, 11]",7,7,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1709,4,Hard,True,2,the screwdriver under the white box,7,black and red screwdriver,fully_visible,7,black and red screwdriver,ok,completed,"[3, 11]",7,7,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1711,0,Hard,True,0,the white box on the right-hand side under the chewing gum box,9,gray box,partially_occluded,1,red and yellow handled pliers,ok,completed,"[6, 13]",1,13,0.9260060348740954,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1711,0,Hard,True,1,the grey box on bottom right,9,gray box,partially_occluded,1,red and yellow handled pliers,ok,completed,"[6, 13]",1,13,0.9260060348740954,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1711,0,Hard,True,2,the grey box on the right,8,gray box,partially_occluded,10,blue screwdriver,ok,completed,"[6, 13]",10,7,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1755,9,Hard,True,0,"the blue ball on the center, under the pliers",8,blue ball fragment,partially_occluded,6,packaging with text and graphics,ok,completed,[2],6,2,0.9806651477355619,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1755,9,Hard,True,1,the  blue ball on the center under the clamp,2,blue ball,partially_occluded,6,packaging with text and graphics,ok,completed,[2],6,2,0.9806651477355619,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1755,9,Hard,True,2,the blue ball in the middle under the plier,8,blue ball fragment,partially_occluded,6,packaging with text and graphics,ok,completed,[2],6,2,0.9806651477355619,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1842,8,Hard,True,0,the white box under the cheese cracker box in the middle,6,gray rectangular box,partially_occluded,4,red Cheez-It box,ok,completed,[10],4,9,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1842,8,Hard,True,1,the white box in the center partially behind the red box,6,gray rectangular box,partially_occluded,4,red Cheez-It box,ok,completed,[10],4,9,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1842,8,Hard,True,2,the small white box on the center of the image,9,small white folded paper,partially_occluded,5,red Cheez-It box,ok,completed,[10],5,10,0.9931064540287037,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1958,5,Hard,True,0,"the green vape-like object in the middle, with a banana on top and a bulb directly attach",5,green cylindrical object with metallic parts,partially_occluded,2,yellow banana,ok,completed,[7],2,7,0.9765474128491509,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1958,5,Hard,True,1,the green object in the exact middle under the middle banana,6,green cylindrical object with metallic parts,partially_occluded,2,yellow banana,ok,completed,[7],2,7,0.9765474128491509,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1958,5,Hard,True,2,the green grinder in the center under a banana and near a lamp,5,green cylindrical object with metallic parts,partially_occluded,2,yellow banana,ok,completed,[7],2,7,0.9765474128491509,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1961,8,Hard,True,0,the bottom right banana,1,yellow banana,partially_occluded,2,yellow banana,ok,completed,[7],2,7,0.9947976019422287,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1961,8,Hard,True,1,the right banana,1,yellow banana,partially_occluded,2,yellow banana,ok,completed,[7],2,7,0.9947976019422287,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1961,8,Hard,True,2,the banana on the left,3,yellow banana,partially_occluded,4,green and black mechanical component,ok,completed,[7],4,3,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,2014,5,Hard,True,0,the yellow propeller on bottom right,3,yellow propeller with five blades,fully_visible,3,yellow propeller with five blades,ok,completed,[4],3,2,0.1401804520733126,0,ok
gpt-4o,theory_original,01_hard_ambiguous,2014,5,Hard,True,1,the most right yellow propeller,2,yellow propeller with five blades,fully_visible,2,yellow propeller with five blades,ok,completed,[4],2,5,0.16333613210187517,0,ok
gpt-4o,theory_original,01_hard_ambiguous,2014,5,Hard,True,2,the rightmost yellow propeller of all,2,yellow propeller with five blades,fully_visible,2,yellow propeller with five blades,ok,completed,[4],2,5,0.16333613210187517,0,ok
gpt-4o,theory_original,01_hard_ambiguous,2030,1,Hard,True,0,the lemon which is on the right of another lemon,3,yellow lemon,partially_occluded,7,orange and yellow tool,ok,completed,[5],7,5,0.14816538154746078,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2030,1,Hard,True,1,the topmost lemon,3,yellow lemon,partially_occluded,7,orange and yellow tool,ok,completed,[5],7,5,0.14816538154746078,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2030,1,Hard,True,2,the top central lemon,3,yellow lemon,partially_occluded,7,orange and yellow tool,ok,completed,[5],7,5,0.14816538154746078,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2035,3,Hard,True,0,the bottom right object with orange and yellow color,5,yellow and orange tool with black tip,fully_visible,5,yellow and orange tool with black tip,ok,completed,[2],5,3,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,2035,3,Hard,True,1,the orange toy similar to a submarine,3,yellow and orange tool with black tip,partially_occluded,2,yellow and orange tool with black tip,ok,completed,[2],2,2,0.40451023104667355,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2035,3,Hard,True,2,the orange toy submarine on the right,3,yellow and orange tool with black tip,partially_occluded,2,yellow and orange tool with black tip,ok,completed,[2],2,2,0.40451023104667355,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2096,3,Hard,True,0,the blue extra box on top left behind the brown box,4,blue and white box with 'Euro' text,partially_occluded,9,blue and white torn paper piece,ok,completed,"[0, 1, 4]",9,0,0.10903432812741612,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2096,3,Hard,True,1,the top left chewing gum box under everything,4,blue and white box with 'Euro' text,partially_occluded,9,blue and white torn paper piece,ok,completed,"[0, 1, 4]",9,0,0.10903432812741612,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2096,3,Hard,True,2,the bottom most  white chewing gum box,3,blue and white box with 'Euro' text,partially_occluded,9,blue and white torn paper piece,ok,completed,"[0, 1, 4]",9,0,0.10903432812741612,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2186,4,Hard,True,0,the banana,4,yellow banana,partially_occluded,3,gray mug with handle,ok,completed,"[2, 6]",3,2,0.99267740647051,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2186,4,Hard,True,1,the banana,4,yellow banana,partially_occluded,3,gray mug with handle,ok,completed,"[2, 6]",3,2,0.99267740647051,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2186,4,Hard,True,2,the banana,4,yellow banana,partially_occluded,3,gray mug with handle,ok,completed,"[2, 6]",3,2,0.99267740647051,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2310,7,Hard,True,0,the brown box leaning on the soup can,5,cardboard box,partially_occluded,6,can with label,ok,completed,[1],6,0,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,2310,7,Hard,True,1,the most visible brown box on right,5,cardboard box,partially_occluded,6,can with label,ok,completed,[1],6,0,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,2310,7,Hard,True,2,the brown box on the right,5,cardboard box,partially_occluded,6,can with label,ok,completed,[1],6,0,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,2355,8,Hard,True,0,the bottom right white cable,8,white coiled cable,partially_occluded,1,red apple,ok,completed,"[2, 3]",1,3,0.9968444393904935,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2355,8,Hard,True,1,the cable bundle touching the apple,8,white coiled cable,partially_occluded,1,red apple,ok,completed,"[2, 3]",1,3,0.9968444393904935,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2355,8,Hard,True,2,the wires on the right behind more wires,7,small green screw,partially_occluded,1,red apple,ok,completed,"[2, 3]",1,3,0.9968444393904935,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2357,8,Hard,True,0,the white cable on bottom left,2,coiled white cable,partially_occluded,6,transparent glass object 4,ok,completed,"[4, 10]",6,4,0.7600619752819515,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2357,8,Hard,True,1,the bottom most circular white thing,2,coiled white cable,partially_occluded,6,transparent glass object 4,ok,completed,"[4, 10]",6,4,0.7600619752819515,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2357,8,Hard,True,2,the cable on the bottom left,2,coiled white cable,partially_occluded,6,transparent glass object 4,ok,completed,"[4, 10]",6,4,0.7600619752819515,1,ok
gpt-4o,theory_original,01_hard_ambiguous,242,4,Hard,True,0,the pear under the other peaer,1,green pear,partially_occluded,3,orange and black drill,ok,completed,[0],3,0,0.5818393492946864,1,ok
gpt-4o,theory_original,01_hard_ambiguous,242,4,Hard,True,1,the bottom pear,1,green pear,partially_occluded,3,orange and black drill,ok,completed,[0],3,0,0.5818393492946864,1,ok
gpt-4o,theory_original,01_hard_ambiguous,242,4,Hard,True,2,the pear on the bottom,1,green pear,partially_occluded,3,orange and black drill,ok,completed,[0],3,0,0.5818393492946864,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2804,1,Hard,True,0,the second box starting from the top,3,green box with cutout corner,partially_occluded,1,stacked beige and green boxes,ok,completed,[3],1,2,0.4336732170937466,0,ok
gpt-4o,theory_original,01_hard_ambiguous,2804,1,Hard,True,1,the big festo box in the middle with another two boxes leaning on it,1,stacked beige and green boxes,fully_visible,1,stacked beige and green boxes,ok,completed,[3],1,2,0.4336732170937466,0,ok
gpt-4o,theory_original,01_hard_ambiguous,2804,1,Hard,True,2,the green box in the center between two other green boxes,3,green box with cutout corner,partially_occluded,1,stacked beige and green boxes,ok,completed,[3],1,2,0.4336732170937466,0,ok
gpt-4o,theory_original,01_hard_ambiguous,2839,0,Hard,True,0,the bottom purple box,2,small blue rectangular box fragment,partially_occluded,1,blue rectangular box with white coiled cable,ok,completed,[4],1,4,0.37063454846113975,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2839,0,Hard,True,1,the blue box lower of the two,2,small blue rectangular box fragment,partially_occluded,1,blue rectangular box with white coiled cable,ok,completed,[4],1,4,0.37063454846113975,1,ok
gpt-4o,theory_original,01_hard_ambiguous,2839,0,Hard,True,2,the blue bottom box,2,small blue rectangular box fragment,partially_occluded,1,blue rectangular box with white coiled cable,ok,completed,[4],1,4,0.37063454846113975,1,ok
gpt-4o,theory_original,01_hard_ambiguous,3486,6,Hard,True,0,the extra package on the right,5,white packaging with text,partially_occluded,3,white packaging with text,ok,completed,[2],3,2,0.9670306786282497,1,ok
gpt-4o,theory_original,01_hard_ambiguous,3486,6,Hard,True,1,the box of chewing gum on bottom right,4,blue box,fully_visible,4,blue box,ok,completed,[2],4,8,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,3486,6,Hard,True,2,the the white and blue small box in the right part of the image,6,blue and white packaging,partially_occluded,3,white packaging with text,ok,completed,[2],3,2,0.9670306786282497,1,ok
gpt-4o,theory_original,01_hard_ambiguous,3724,1,Hard,True,0,the yellow toy dog in the bottom right,6,"yellow and green object, possibly a toy or decorative item",partially_occluded,1,green and white pouch with printed text,ok,completed,[4],1,4,0.9798605124990205,1,ok
gpt-4o,theory_original,01_hard_ambiguous,3724,1,Hard,True,1,the toy dog at the bottom under the refiller bag,6,"yellow and green object, possibly a toy or decorative item",partially_occluded,1,green and white pouch with printed text,ok,completed,[4],1,4,0.9798605124990205,1,ok
gpt-4o,theory_original,01_hard_ambiguous,3724,1,Hard,True,2,the toy dog near the bottom right corner,6,"yellow and green object, possibly a toy or decorative item",partially_occluded,1,green and white pouch with printed text,ok,completed,[4],1,4,0.9798605124990205,1,ok
gpt-4o,theory_original,01_hard_ambiguous,3727,3,Hard,True,0,the strawberry on the right under the drills,5,strawberry,partially_occluded,6,red and black cordless drill,ok,completed,[6],6,6,0.5427284479095378,1,ok
gpt-4o,theory_original,01_hard_ambiguous,3727,3,Hard,True,1,the strawberry on bottom right,5,strawberry,partially_occluded,6,red and black cordless drill,ok,completed,[6],6,6,0.5427284479095378,1,ok
gpt-4o,theory_original,01_hard_ambiguous,3727,3,Hard,True,2,the strawberry in the middle of the right,5,strawberry,partially_occluded,6,red and black cordless drill,ok,completed,[6],6,6,0.5427284479095378,1,ok
gpt-4o,theory_original,01_hard_ambiguous,4015,3,Hard,True,0,the lemon on the bottom,2,lemon,partially_occluded,1,box of sugar,ok,completed,"[1, 2]",1,2,0.9935828130994315,1,ok
gpt-4o,theory_original,01_hard_ambiguous,4015,3,Hard,True,1,the lemon further down another lemon,2,lemon,partially_occluded,1,box of sugar,ok,completed,"[1, 2]",1,2,0.9935828130994315,1,ok
gpt-4o,theory_original,01_hard_ambiguous,4015,3,Hard,True,2,the lemon that is under another lemon,2,lemon,partially_occluded,1,box of sugar,ok,completed,"[1, 2]",1,2,0.9935828130994315,1,ok
gpt-4o,theory_original,01_hard_ambiguous,4018,2,Hard,True,0,the cable bundle on the bottom,2,coiled white cable,partially_occluded,1,orange and black cordless drill,ok,completed,[3],1,3,0.9770994999137782,1,ok
gpt-4o,theory_original,01_hard_ambiguous,4018,2,Hard,True,1,the white cable in center over the lamp,2,coiled white cable,partially_occluded,1,orange and black cordless drill,ok,completed,[3],1,3,0.9770994999137782,1,ok
gpt-4o,theory_original,01_hard_ambiguous,4018,2,Hard,True,2,the white cable under the other white cable,2,coiled white cable,partially_occluded,1,orange and black cordless drill,ok,completed,[3],1,3,0.9770994999137782,1,ok
gpt-4o,theory_original,01_hard_ambiguous,4109,4,Hard,True,0,the blue object under the other blue object,5,blue blocks,partially_occluded,4,toothpaste box,ok,completed,[5],4,5,0.9896017661829887,1,ok
gpt-4o,theory_original,01_hard_ambiguous,4109,4,Hard,True,1,the little blue handlebar on the right,5,blue blocks,partially_occluded,4,toothpaste box,ok,completed,[5],4,5,0.9896017661829887,1,ok
gpt-4o,theory_original,01_hard_ambiguous,4109,4,Hard,True,2,the screw most right,,,fully_occluded,4,toothpaste box,ok,completed,[5],4,5,0.9896017661829887,1,ok
gpt-4o,theory_original,01_hard_ambiguous,4156,2,Hard,True,0,the banana at the top,3,yellow banana,partially_occluded,4,yellow banana,ok,completed,[6],4,6,0.9754882076838385,1,ok
gpt-4o,theory_original,01_hard_ambiguous,4156,2,Hard,True,1,the top banana,3,yellow banana,partially_occluded,4,yellow banana,ok,completed,[6],4,6,0.9754882076838385,1,ok
gpt-4o,theory_original,01_hard_ambiguous,4156,2,Hard,True,2,"the the banana on top, with another banana leaning on it",3,yellow banana,partially_occluded,4,yellow banana,ok,completed,[6],4,6,0.9754882076838385,1,ok
gpt-4o,theory_original,01_hard_ambiguous,4232,1,Hard,True,0,the toy submarine under the other submarines,3,orange cylindrical object,partially_occluded,2,yellow and orange handheld tool,ok,completed,[3],2,2,0.31935029283365585,0,ok
gpt-4o,theory_original,01_hard_ambiguous,4232,1,Hard,True,1,the yellow toy submarine-like with two other similar object leaning on top,2,yellow and orange handheld tool,fully_visible,2,yellow and orange handheld tool,ok,completed,[3],2,2,0.31935029283365585,0,ok
gpt-4o,theory_original,01_hard_ambiguous,4232,1,Hard,True,2,the most occluded submarine in the middle,3,orange cylindrical object,partially_occluded,2,yellow and orange handheld tool,ok,completed,[3],2,2,0.31935029283365585,0,ok
gpt-4o,theory_original,01_hard_ambiguous,4570,2,Hard,True,0,the plastic bag closest to the top edge,3,transparent plastic bag,partially_occluded,4,coiled white cable,ok,completed,[3],4,3,0.9567064961292494,1,ok
gpt-4o,theory_original,01_hard_ambiguous,4570,2,Hard,True,1,the white cable on top right under the mug,4,coiled white cable,fully_visible,4,coiled white cable,ok,completed,[3],4,3,0.9567064961292494,1,ok
gpt-4o,theory_original,01_hard_ambiguous,4570,2,Hard,True,2,the top cable package,3,transparent plastic bag,partially_occluded,4,coiled white cable,ok,completed,[3],4,3,0.9567064961292494,1,ok
gpt-4o,theory_original,01_hard_ambiguous,5062,1,Hard,True,0,the knife on the bottom,4,metallic screwdriver with black handle,partially_occluded,3,metallic screwdriver with black handle,ok,completed,[0],3,0,0.985362342025276,1,ok
gpt-4o,theory_original,01_hard_ambiguous,5062,1,Hard,True,1,the bottom knife,4,metallic screwdriver with black handle,partially_occluded,3,metallic screwdriver with black handle,ok,completed,[0],3,0,0.985362342025276,1,ok
gpt-4o,theory_original,01_hard_ambiguous,5062,1,Hard,True,2,the pointy object in the bottom,4,metallic screwdriver with black handle,partially_occluded,3,metallic screwdriver with black handle,ok,completed,[0],3,0,0.985362342025276,1,ok
gpt-4o,theory_original,01_hard_ambiguous,5076,2,Hard,True,0,the scissor on the left,3,gray and yellow scissors,partially_occluded,1,yellow and white sugar box,ok,completed,[0],1,0,0.991984054394533,1,ok
gpt-4o,theory_original,01_hard_ambiguous,5076,2,Hard,True,1,the scissor in the top behind the box,3,gray and yellow scissors,partially_occluded,1,yellow and white sugar box,ok,completed,[0],1,0,0.991984054394533,1,ok
gpt-4o,theory_original,01_hard_ambiguous,5076,2,Hard,True,2,the scissor at the top being partially obstructed by the Domino sugar box,3,gray and yellow scissors,partially_occluded,1,yellow and white sugar box,ok,completed,[0],1,0,0.991984054394533,1,ok
gpt-4o,theory_original,01_hard_ambiguous,5110,3,Hard,True,0,the cylinder on the bottom left,4,black cylindrical object,partially_occluded,2,smaller blue-green textured object,ok,completed,[1],2,1,0.9819158631937449,1,ok
gpt-4o,theory_original,01_hard_ambiguous,5110,3,Hard,True,1,the light blue object under the black object,2,smaller blue-green textured object,fully_visible,2,smaller blue-green textured object,ok,completed,[1],2,1,0.9819158631937449,1,ok
gpt-4o,theory_original,01_hard_ambiguous,5110,3,Hard,True,2,the bottom small green plastic container,,,fully_occluded,1,large blue-green textured object,ok,completed,[1],1,0,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,5223,3,Hard,True,0,the yellow propeller occluded by another propeller,6,yellow three-blade propeller with central hub,partially_occluded,1,light green rectangular box,ok,completed,[5],1,5,0.9925600538208873,1,ok
gpt-4o,theory_original,01_hard_ambiguous,5223,3,Hard,True,1,the yellow fidget spinner under the box and the other fidget spinner,6,yellow three-blade propeller with central hub,partially_occluded,1,light green rectangular box,ok,completed,[5],1,5,0.9925600538208873,1,ok
gpt-4o,theory_original,01_hard_ambiguous,5223,3,Hard,True,2,the propeller resting to the box bottom panel,6,yellow three-blade propeller with central hub,partially_occluded,1,light green rectangular box,ok,completed,[5],1,5,0.9925600538208873,1,ok
gpt-4o,theory_original,01_hard_ambiguous,5359,10,Hard,True,0,the second soap box from the bottom right,6,white bottle with pump,partially_occluded,5,red and white thermometer,ok,completed,"[5, 8]",5,2,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,5359,10,Hard,True,1,the white soap dispenser in the middle under the glass,6,white bottle with pump,partially_occluded,5,red and white thermometer,ok,completed,"[5, 8]",5,2,0.0,0,ok
