model,prior_prompt,ranking_score,target_source,target_id,target_label,step,candidate_id,candidate_label,P_s,P_g,P,IG,IG_normalized,graspability,graspability_part_id,graspability_parts,cost,score_legacy,score_ig,score_ig_graspability,score_theory,score,vlm_reason,selected,scene_id,detail_file,reason_algorithm,run_dir
gpt-4o,original,legacy,all,4,object_4,2,5,object_5,1.0,0.097351,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,184,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_184.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,5,object_5,1,8,object_8,1.0,0.014186,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,184,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_184.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,6,object_6,1,8,object_8,1.0,0.018753,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,184,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_184.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,7,object_7,1,8,object_8,1.0,0.037564851383,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object 6 directly covers the target (object 7), making it a primary occluder. Object 8 covers both object 6 and the target (object 7), making it the most critical occluder in the chain.",True,184,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_184.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,7,object_7,2,6,object_6,1.0,0.006711,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,184,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_184.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,2,object_2,1,1,object_1,1.0,0.028194,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,20,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_20.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,3,object_3,1,1,object_1,0.75,0.000244808502,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object 2 directly covers the target (object 3), so it receives a high score. Object 1 indirectly contributes to the occlusion by pressing object 2 onto the target, so it receives a moderate-to-high score.",True,20,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_20.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,3,object_3,2,2,object_2,1.0,0.008683,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,20,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_20.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,4,object_4,1,6,object_6,1.0,0.018173,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,20,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_20.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,3,object_3,1,5,object_5,1.0,0.00416,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,222,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_222.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,4,object_4,1,5,object_5,1.0,0.027302,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,222,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_222.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,2,object_2,1,3,object_3,1.0,0.017257,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,298,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_298.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,4,object_4,1,3,object_3,1.0,0.018378,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,298,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_298.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,6,object_6,1,5,object_5,1.0,0.004515,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,298,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_298.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,5,object_5,1,3,object_3,1.0,0.071211,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,32,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_32.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,6,object_6,1,7,object_7,1.0,0.004358,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,32,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_32.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,2,object_2,1,4,object_4,1.0,0.316888,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,345,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_345.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,7,object_7,1,4,object_4,0.75,0.035625816512,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object_2 directly covers the target (object_7), making it the immediate occluder with a high score. Object_4 presses on object_2, indirectly contributing to the occlusion of the target, so it receives a moderate score.",True,345,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_345.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,7,object_7,2,2,object_2,1.0,0.112424,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,345,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_345.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,1,object_1,1,4,object_4,0.95,0.051258,0.7219741679225883,0.8527469031821366,0.8527469031821366,1.0,,{},0,0.6156612358734871,0.8527469031821366,0.8527469031821366,0.6156612358734871,0.6156612358734871,"Both object_4 and object_6 directly cover object_1, making them immediate occluders with high relevance to uncovering the target.",True,348,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_348.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,1,object_1,1,6,object_6,0.95,0.019739,0.2780258320774117,0.8527469031821366,0.8527469031821366,1.0,,{},0,0.2370856673086495,0.8527469031821366,0.8527469031821366,0.2370856673086495,0.2370856673086495,"Both object_4 and object_6 directly cover object_1, making them immediate occluders with high relevance to uncovering the target.",False,348,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_348.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,1,object_1,2,6,object_6,1.0,0.019739,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,348,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_348.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,7,object_7,1,6,object_6,0.75,0.00437330663,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object 9 directly covers the target (object 7), so it gets a high score. Object 6 indirectly occludes the target by covering object 9, which is the direct occluder, so it gets a moderate-to-high score.",True,348,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_348.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,7,object_7,2,9,object_9,1.0,0.093878,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,348,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_348.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,8,object_8,1,5,object_5,1.0,0.059004,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,348,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_348.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,9,object_9,1,6,object_6,1.0,0.046585,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,348,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_348.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,3,object_3,1,5,object_5,1.0,0.028561,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,365,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_365.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,theory,all,1,object_1,1,2,object_2,0.95,0.002558927132,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object 2 directly covers the target (object 1) and also presses other objects, making it the primary occluder. Object 3 also directly covers the target but is slightly less dominant in the occlusion chain compared to object 2.",True,1094,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_1094.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,1,object_1,2,3,object_3,1.0,0.009159,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,1094,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_1094.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,3,object_3,1,2,object_2,1.0,0.012548,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,1094,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_1094.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,4,object_4,1,2,object_2,1.0,0.014864,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,1094,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_1094.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,5,object_5,1,2,object_2,1.0,0.01407,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,125,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_125.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,6,object_6,1,2,object_2,0.7,0.0002183523299999,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object 5 directly covers the target (object 6), so it gets a high score. Object 2 indirectly contributes to the occlusion by pressing on object 5, making it moderately important.",True,125,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_125.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,6,object_6,2,5,object_5,1.0,0.015519,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,125,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_125.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,1,object_1,1,8,object_8,0.7,0.0002460505175031,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object 5 directly covers the target (object 1), so it gets the highest score (1.0). Object 4 also directly covers the target but is partially blocked by object 5, so it gets a slightly lower score (0.9). Object 8 indirectly occludes the target by covering object 5, which is a direct occluder, so it gets a moderate score (0.7).",True,184,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_184.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,1,object_1,2,5,object_5,0.95,0.017344601544,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object 4 directly covers the target (object 1) but is partially blocked by object 5, making it slightly less critical. Object 5 directly covers both the target and object 4, making it the most significant occluder.",True,184,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_184.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,1,object_1,3,4,object_4,1.0,0.033144,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,184,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_184.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,3,object_3,1,8,object_8,1.0,0.0002279059533406,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object 8 directly covers object 7, which directly covers the target (object 3), making it the most critical occluder. Object 7 directly blocks the target, so it is highly relevant. Object 6 indirectly contributes to the occlusion by pressing object 7, making it moderately important.",True,184,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_184.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,3,object_3,2,6,object_6,0.7,4.0715637e-05,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object_7 directly covers the target (object_3), so it receives a high score. Object_6 covers object_7, which in turn covers the target, making it an indirect occluder with a moderate-to-high score.",True,184,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_184.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,3,object_3,3,7,object_7,1.0,0.006067,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,184,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_184.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,4,object_4,1,8,object_8,0.85,0.001381021286,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object 5 directly covers the target (object 4), making it the immediate occluder with the highest relevance. Object 8 strongly contributes to the occlusion by pressing object 5 onto the target and partially overlapping it, making it a significant indirect occluder.",True,184,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_184.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,4,object_4,2,5,object_5,1.0,0.097351,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,184,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_184.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,5,object_5,1,8,object_8,1.0,0.014186,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,184,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_184.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,6,object_6,1,8,object_8,1.0,0.018753,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,184,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_184.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,7,object_7,1,8,object_8,1.0,0.037564851383,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object_6 directly covers the target (object_7), making it a high-priority occluder. Object_8 also directly covers the target and presses object_6 onto it, making it the most critical occluder.",True,184,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_184.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,7,object_7,2,6,object_6,1.0,0.006711,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,184,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_184.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,2,object_2,1,1,object_1,1.0,0.028194,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,20,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_20.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,3,object_3,1,1,object_1,0.7,0.000244808502,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object_2 directly covers the target (object_3), so it receives a high score. Object_1 indirectly contributes to the occlusion by pressing on object_2, which blocks the target, so it receives a moderate score.",True,20,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_20.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,3,object_3,2,2,object_2,1.0,0.008683,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,20,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_20.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,4,object_4,1,6,object_6,1.0,0.018173,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,20,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_20.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,3,object_3,1,5,object_5,1.0,0.00416,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,222,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_222.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,4,object_4,1,5,object_5,1.0,0.027302,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,222,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_222.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,2,object_2,1,3,object_3,1.0,0.017257,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,298,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_298.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,4,object_4,1,3,object_3,1.0,0.018378,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,298,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_298.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,6,object_6,1,5,object_5,1.0,0.004515,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,298,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_298.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,5,object_5,1,3,object_3,1.0,0.071211,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,32,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_32.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,6,object_6,1,7,object_7,1.0,0.004358,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,32,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_32.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,2,object_2,1,4,object_4,1.0,0.316888,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,345,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_345.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,7,object_7,1,4,object_4,0.8,0.035625816512,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object 2 directly covers the target (object 7), so it gets the highest score. Object 4 indirectly occludes the target by covering object 2, which is pressing on the target, so it gets a high but slightly lower score.",True,345,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_345.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,7,object_7,2,2,object_2,1.0,0.112424,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,345,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_345.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,1,object_1,1,4,object_4,0.95,0.051258,0.7219741679225883,0.8527469031821366,0.8527469031821366,1.0,,{},0,0.6156612358734871,0.8527469031821366,0.8527469031821366,0.6156612358734871,0.6156612358734871,"Both object_4 and object_6 directly cover object_1, making them immediate occluders with high relevance.",True,348,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_348.csv,theory,runs_reason_compare/gpt-4o/original/theory
gpt-4o,original,theory,all,1,object_1,1,6,object_6,0.95,0.019739,0.2780258320774117,0.8527469031821366,0.8527469031821366,1.0,,{},0,0.2370856673086495,0.8527469031821366,0.8527469031821366,0.2370856673086495,0.2370856673086495,"Both object_4 and object_6 directly cover object_1, making them immediate occluders with high relevance.",False,348,runs_reason_compare/gpt-4o/original/theory/scene_details/scene_348.csv,theory,runs_reason_compare/gpt-4o/original/theory
